Nummer,Titel,Mode,Genre,Publisher,Developer,Release,Version,Players
SWJ-7AC001,WonderWave,Monochrom,Hardware,Bandai,,29.06.2000,Classic,
SWJ-7AC002,WonderWitch,Monochrom,Hardware,Bandai,,18.07.2000,Classic,
SWJ-7AC003,WonderWitch,Monochrom,Hardware,Bandai,,2000,Classic,
SWJ-7AC004,Cleaning Kit,,Hardware,Bandai,,19.07.2000,Classic,
SWJ-AAE001,Tokyo Majin Gakuen - Hujyuu Fuusen,Monochrom,RPG,Asmik Ace,Shout! Designworks,12.10.2000,Classic,
SWJ-ATN001,Pro Mahjong Kiwame for WonderSwan,Monochrom,Board,Athena,Athena,07.10.1999,Classic,2
SWJ-BAN001,Gunpey,Monochrom,Puzzle,Bandai,Koto ,04.03.1999,Classic,2
SWJ-BAN002,Chocobo no Fushigi na Dungeon,Monochrom,RPG,Bandai,TOSE ,04.03.1999,Classic,1
SWJ-BAN003,Wonder Stadium,Monochrom,Sport,Bandai,TOSE ,11.03.1999,Classic,2
SWJ-BAN004,Puyo Puyo Tsu,Monochrom,Puzzle,Bandai,Compile ,11.03.1999,Classic,2
SWJ-BAN005,Digital Monster Ver. WonderSwan,Monochrom,Simulation,Bandai,Sims ,25.03.1999,Classic,2
SWJ-BAN006,SD Gundam - Emotional Jam,Monochrom,Strategy,Bandai,Tom Create,27.05.1999,Classic,2
SWJ-BAN007,Kosodate Quiz My Angel,Monochrom,Quiz,Bandai,Namco ,15.04.1999,Classic,2
SWJ-BAN008,Kaze no Klonoa - Moonlight Museum,Monochrom,Platformer,Bandai,Namco,20.05.1999,Classic,1
SWJ-BAN009,Last Stand,Monochrom,Strategy-RPG,Bandai,Soft Machine ,27.05.1999,Classic,1
SWJ-BAN00A,Pocket Fighter,Monochrom,Fighting,Bandai,Soft Machine,06.04.2000,Classic,2
SWJ-BAN00B,Chaos Gear - Michibi Kareshi Mono,Monochrom,Strategy,Bandai, Lay-Up,10.06.1999,Classic,2
SWJ-BAN00C,Vaitz Blade,Monochrom,RPG,Bandai,Tom Create,24.06.1999,Classic,1
SWJ-BAN00D,Tekken Card Challenge,Monochrom,Cardbattle,Bandai,Namco ,17.06.1999,Classic,2
SWJ-BAN00E,Neon Genesis Evangelion - Shito Ikusei,Monochrom,RPG,Bandai,Soft Machine,22.07.1999,Classic,2
SWJ-BAN00F,Handy Sonar,Monochrom,Hardware,Bandai,,13.05.1999,Classic,1
SWJ-BAN010,Gunpey,Monochrom,Puzzle,Bandai,Koto ,04.03.1999,Classic,2
SWJ-BAN011,Makaimura for WonderSwan,Monochrom,Platformer,Bandai,Capcom ,22.07.1999,Classic,1
SWJ-BAN012,Meitantei Conan - Majutsushi No Chousenjou,Monochrom,Adventure,Bandai,Tomcat System,05.08.1999,Classic,1
SWJ-BAN013,Rockman & Forte,Monochrom,Platformer,Bandai,Lay-Up ,28.10.1999,Classic,1
SWJ-BAN014 / SWJ-BAN018,Terrors,Monochrom,Adventure,Bandai,Megas ,05.08.1999,Classic,1
SWJ-BAN015,Mobile Suit Gundam MSVS,Monochrom,Simulation,Bandai,Sims ,26.08.1999,Classic,2
SWJ-BAN017,Turntablist: DJ Battle,Monochrom,Rhythm,Bandai,Bandai,25.11.1999,Classic,1
SWJ-BAN018,Terrors Limited Edition,Monochrom,Adventure,Bandai,Bandai,05.08.1999,Classic,1
SWJ-BAN019,Wonder Stadium 99,Monochrom,Sport,Bandai,Namco,30.09.1999,Classic,2
SWJ-BAN01A,Card Captor Sakura - Sakura to Fushigi na Clow Cards,Monochrom,RPG,Bandai,Sims,02.12.1999,Classic,2
SWJ-BAN01B,Buffers Evolution,Monochrom,Platformer,Bandai,Bandai,09.12.1999,Classic,1
SWJ-BAN01C,Digimon Adventure - Anode Tamer,Monochrom,RPG,Bandai,Sims ,16.12.1999,Classic,1
SWJ-BAN01D,Digimon Adventure - Cathode Tamer,Monochrom,RPG,Bandai,Sims ,20.12.2000,Classic,2
SWJ-BAN01E,D's Garage 21: Taneomaku Tori,Monochrom,Puzzle,Bandai,D's Garage,02.05.1999,Classic,2
SWJ-BAN01F,Tare Panda no Gunpey,Monochrom,Puzzle,Bandai,Bandai,09.12.1999,Classic,2
SWJ-BAN020,SD Gundam - Gashapon Senki - Episode One,Monochrom,Strategy,Bandai,Graphic Research,29.12.1999,Classic,2
